seed,iter,0::2B::0,0::2B::1,0::2T::0,0::2T::1,1::2B::0,1::2B::1,1::2T::0,1::2T::1,2::2B::0,2::2B::1,2::2T::0,2::2T::1
1,913,0.76692,0.23308,0.272068,0.727932,0.76692,0.23308,0.272068,0.727932,0.610724,0.389276,0.359794,0.640206
1,955,0.744795,0.255205,0.260815,0.739185,0.744795,0.255205,0.260815,0.739185,0.630307,0.369693,0.362763,0.637237
1,1000,0.729259,0.270741,0.249506,0.750494,0.729259,0.270741,0.249506,0.750494,0.649258,0.350742,0.349434,0.650566
1,1048,0.740498,0.259502,0.245315,0.754685,0.740498,0.259502,0.245315,0.754685,0.66148,0.33852,0.333956,0.666044
1,1097,0.751885,0.248115,0.268739,0.731261,0.751885,0.248115,0.268739,0.731261,0.637581,0.362419,0.324822,0.675178
1,1149,0.760739,0.239261,0.26723,0.73277,0.760739,0.239261,0.26723,0.73277,0.623848,0.376152,0.306911,0.693089
1,1203,0.741894,0.258106,0.255994,0.744006,0.741894,0.258106,0.255994,0.744006,0.641695,0.358305,0.293851,0.706149
1,1259,0.732824,0.267176,0.24848,0.75152,0.732824,0.267176,0.24848,0.75152,0.656793,0.343207,0.28225,0.71775
1,1319,0.744767,0.255233,0.266144,0.733856,0.744767,0.255233,0.266144,0.733856,0.670622,0.329378,0.300199,0.699801
1,1381,0.754548,0.245452,0.274403,0.725597,0.754548,0.245452,0.274403,0.725597,0.689127,0.310873,0.313995,0.686005
1,1446,0.737338,0.262662,0.263654,0.736346,0.737338,0.262662,0.263654,0.736346,0.704766,0.295234,0.301693,0.698307
1,1514,0.725008,0.274992,0.251845,0.748155,0.725008,0.274992,0.251845,0.748155,0.71161,0.28839,0.291554,0.708446
1,1585,0.734447,0.265553,0.264309,0.735691,0.734447,0.265553,0.264309,0.735691,0.681321,0.318679,0.278246,0.721754
1,1660,0.745245,0.254755,0.298906,0.701094,0.745245,0.254755,0.298906,0.701094,0.64942,0.35058,0.268539,0.731461
1,1738,0.7471,0.2529,0.295409,0.704591,0.7471,0.2529,0.295409,0.704591,0.660957,0.339043,0.25787,0.74213
1,1820,0.715531,0.284469,0.282036,0.717964,0.715531,0.284469,0.282036,0.717964,0.673266,0.326734,0.250517,0.749483
1,1906,0.696626,0.303374,0.270099,0.729901,0.696626,0.303374,0.270099,0.729901,0.685242,0.314758,0.282874,0.717126
1,1996,0.708542,0.291458,0.265222,0.734778,0.708542,0.291458,0.265222,0.734778,0.701162,0.298838,0.311666,0.688334
1,2090,0.722001,0.277999,0.2916,0.7084,0.722001,0.277999,0.2916,0.7084,0.714165,0.285835,0.319062,0.680938
