seed,iter,0::0b::0,0::0b::1,0::0p::0,0::0p::1,0::1b::0,0::1b::1,0::1p::0,0::1p::1,0::2b::0,0::2b::1,0::2p::0,0::2p::1,1::0b::0,1::0b::1,1::0p::0,1::0p::1,1::1b::0,1::1b::1,1::1p::0,1::1p::1,1::2b::0,1::2b::1,1::2p::0,1::2p::1,2::0b::0,2::0b::1,2::0p::0,2::0p::1,2::1b::0,2::1b::1,2::1p::0,2::1p::1,2::2b::0,2::2b::1,2::2p::0,2::2p::1,3::0b::0,3::0b::1,3::0p::0,3::0p::1,3::1b::0,3::1b::1,3::1p::0,3::1p::1,3::2b::0,3::2b::1,3::2p::0,3::2p::1
1,174,1.66434e-05,0.999983,0.5,0.5,0.00809877,0.991901,0.325,0.675,0,1,0.5,0.5,0.0878038,0.912196,0.028455,0.971545,0.0075817,0.992418,0.492593,0.507407,0.429733,0.570267,0.807559,0.192441,0.270383,0.729617,0.046486,0.953514,0.00953548,0.990465,0.5,0.5,0.875891,0.124109,0.906805,0.0931947,0.27319,0.72681,0.176849,0.823151,0.258304,0.741696,0.278953,0.721047,0.736334,0.263666,0,1
1,182,1.56192e-05,0.999984,0.5,0.5,0.00797606,0.992024,0.325,0.675,0,1,0.5,0.5,0.085272,0.914728,0.028455,0.971545,0.00698315,0.993017,0.492593,0.507407,0.429733,0.570267,0.807559,0.192441,0.269373,0.730627,0.046486,0.953514,0.00874086,0.991259,0.5,0.5,0.872707,0.127293,0.903412,0.0965884,0.275887,0.724113,0.332897,0.667103,0.252996,0.747004,0.278953,0.721047,0.729892,0.270108,0,1
1,191,1.51529e-05,0.999985,0.5,0.5,0.00731139,0.992689,0.325,0.675,0,1,0.5,0.5,0.085272,0.914728,0.028455,0.971545,0.00655209,0.993448,0.492593,0.507407,0.424057,0.575943,0.808346,0.191654,0.266322,0.733678,0.0469173,0.953083,0.00806849,0.991932,0.5,0.5,0.871093,0.128907,0.899613,0.100387,0.276887,0.723113,0.332897,0.667103,0.237184,0.762816,0.278953,0.721047,0.700866,0.299134,0,1
1,200,1.45035e-05,0.999985,0.5,0.5,0.00721123,0.992789,0.325,0.675,0,1,0.5,0.5,0.0816912,0.918309,0.0285429,0.971457,0.00639421,0.993606,0.492593,0.507407,0.419219,0.580781,0.808603,0.191397,0.261912,0.738088,0.0480515,0.951949,0.00771252,0.992287,0.5,0.5,0.869533,0.130467,0.899613,0.100387,0.281354,0.718646,0.332897,0.667103,0.235369,0.764631,0.329567,0.670433,0.677108,0.322892,0,1
1,209,1.37195e-05,0.999986,0.5,0.5,0.00683662,0.993163,0.325,0.675,0,1,0.5,0.5,0.0805093,0.919491,0.0285429,0.971457,0.00589688,0.994103,0.492593,0.507407,0.418121,0.581879,0.808603,0.191397,0.259346,0.740654,0.0480515,0.951949,0.00760075,0.992399,0.5,0.5,0.861658,0.138342,0.895051,0.104949,0.286789,0.713211,0.332897,0.667103,0.231556,0.768444,0.329567,0.670433,0.634117,0.365883,0,1
1,219,1.3016e-05,0.999987,0.5,0.5,0.00658025,0.99342,0.325,0.675,0,1,0.5,0.5,0.0759394,0.924061,0.0285429,0.971457,0.00576869,0.994231,0.492593,0.507407,0.413615,0.586385,0.806221,0.193779,0.253367,0.746633,0.0480515,0.951949,0.00728405,0.992716,0.5,0.5,0.860138,0.139862,0.895051,0.104949,0.294408,0.705592,0.506585,0.493415,0.21652,0.78348,0.329567,0.670433,0.614606,0.385394,0,1
1,230,1.28512e-05,0.999987,0.5,0.5,0.00619318,0.993807,0.325,0.675,0,1,0.5,0.5,0.0728186,0.927181,0.0285429,0.971457,0.00552832,0.994472,0.492593,0.507407,0.409313,0.590687,0.805212,0.194788,0.2497,0.7503,0.0480515,0.951949,0.00699269,0.993007,0.5,0.5,0.854694,0.145306,0.888715,0.111285,0.303838,0.696162,0.506585,0.493415,0.205827,0.794173,0.329567,0.670433,0.587491,0.412509,0,1
1,240,1.19441e-05,0.999988,0.5,0.5,0.0060508,0.993949,0.325,0.675,0,1,0.5,0.5,0.0690358,0.930964,0.0285429,0.971457,0.0054155,0.994584,0.492593,0.507407,0.405068,0.594932,0.803864,0.196136,0.247333,0.752667,0.0498328,0.950167,0.00663863,0.993361,0.5,0.5,0.850397,0.149603,0.888715,0.111285,0.308113,0.691887,0.506585,0.493415,0.198476,0.801524,0.329567,0.670433,0.554852,0.445148,0,1
1,252,1.16695e-05,0.999988,0.5,0.5,0.00566043,0.99434,0.325,0.675,0,1,0.5,0.5,0.0664594,0.933541,0.0285429,0.971457,0.00520313,0.994797,0.492593,0.507407,0.400085,0.599915,0.802042,0.197958,0.245852,0.754148,0.0506034,0.949397,0.00631869,0.993681,0.5,0.5,0.842296,0.157704,0.877409,0.122591,0.316427,0.683573,0.506585,0.493415,0.187326,0.812674,0.329567,0.670433,0.532658,0.467342,0,1
1,264,1.14073e-05,0.999989,0.5,0.5,0.00531737,0.994683,0.325,0.675,0,1,0.5,0.5,0.0643132,0.935687,0.0285429,0.971457,0.00491407,0.995086,0.492593,0.507407,0.396496,0.603504,0.800223,0.199777,0.24292,0.75708,0.0506034,0.949397,0.00595968,0.99404,0.5,0.5,0.836941,0.163059,0.871911,0.128089,0.337028,0.662972,0.506585,0.493415,0.180528,0.819472,0.340898,0.659102,0.518823,0.481177,0,1
1,276,1.11565e-05,0.999989,0.5,0.5,0.00506173,0.994938,0.325,0.675,0,1,0.5,0.5,0.0635476,0.936452,0.0285429,0.971457,0.00465543,0.995345,0.492593,0.507407,0.39068,0.60932,0.800223,0.199777,0.239858,0.760142,0.0506034,0.949397,0.00570056,0.994299,0.5,0.5,0.830537,0.169463,0.866715,0.133285,0.34557,0.65443,0.646798,0.353202,0.181191,0.818809,0.378274,0.621726,0.493202,0.506798,0,1
1,289,1.05755e-05,0.999989,0.5,0.5,0.00487426,0.995126,0.325,0.675,0,1,0.5,0.5,0.0591328,0.940867,0.0331654,0.966835,0.00461495,0.995385,0.492593,0.507407,0.38557,0.61443,0.797611,0.202389,0.234748,0.765252,0.0535759,0.946424,0.00570056,0.994299,0.5,0.5,0.822287,0.177713,0.854463,0.145537,0.370078,0.629922,0.676503,0.323497,0.19083,0.80917,0.431653,0.568347,0.459188,0.540812,0,1
1,302,9.95339e-06,0.99999,0.5,0.5,0.00461772,0.995382,0.325,0.675,0,1,0.5,0.5,0.0557252,0.944275,0.034621,0.965379,0.00438611,0.995614,0.492593,0.507407,0.384631,0.615369,0.797611,0.202389,0.231402,0.768598,0.0535759,0.946424,0.00557927,0.994421,0.5,0.5,0.81595,0.18405,0.848474,0.151526,0.393646,0.606354,0.676503,0.323497,0.194683,0.805317,0.431653,0.568347,0.434232,0.565768,0,1
